	Sepal.Length	Sepal.Width	Petal.Length	Petal.Width	Species	c1	c2	c3	c4
9	4.4	2.9	1.4	0.2	setosa	1	0	0	0.292141116
10	4.9	3.1	1.5	0.1	setosa	1	0	0	0.640316505
53	6.9	3.1	4.9	1.5	versicolor	0	1	0	0.307519502
22	5.1	3.7	1.5	0.4	setosa	1	0	0	0.162860539
67	5.6	3	4.5	1.5	versicolor	0	1	0	0.991689796
119	7.7	2.6	6.9	2.3	virginica	0	0	1	0.856728704
96	5.7	3	4.2	1.2	versicolor	0	1	0	0.527439979
12	4.8	3.4	1.6	0.2	setosa	1	0	0	0.758419185
136	7.7	3	6.1	2.3	virginica	0	0	1	0.882362345
1	5.1	3.5	1.4	0.2	setosa	1	0	0	0.084763861
69	6.2	2.2	4.5	1.5	versicolor	0	1	0	0.859490093
114	5.7	2.5	5	2	virginica	0	0	1	0.842951857
99	5.1	2.5	3	1.1	versicolor	0	1	0	0.124681841
18	5.1	3.5	1.4	0.3	setosa	1	0	0	0.335874181
11	5.4	3.7	1.5	0.2	setosa	1	0	0	0.464135735
34	5.5	4.2	1.4	0.2	setosa	1	0	0	0.294563631
31	4.8	3.1	1.6	0.2	setosa	1	0	0	0.722009942
146	6.7	3	5.2	2.3	virginica	0	0	1	0.056913993
44	5	3.5	1.6	0.6	setosa	1	0	0	0.519546224
16	5.7	4.4	1.5	0.4	setosa	1	0	0	0.167782851
17	5.4	3.9	1.3	0.4	setosa	1	0	0	0.407622003
134	6.3	2.8	5.1	1.5	virginica	0	0	1	0.647296849
95	5.6	2.7	4.2	1.3	versicolor	0	1	0	0.011866115
87	6.7	3.1	4.7	1.5	versicolor	0	1	0	0.711262568
8	5	3.4	1.5	0.2	setosa	1	0	0	0.762479838
35	4.9	3.1	1.5	0.2	setosa	1	0	0	0.65046059
46	4.8	3	1.4	0.3	setosa	1	0	0	0.781502762
90	5.5	2.5	4	1.3	versicolor	0	1	0	0.956518547
81	5.5	2.4	3.8	1.1	versicolor	0	1	0	0.258784713
127	6.2	2.8	4.8	1.8	virginica	0	0	1	0.220188971
111	6.5	3.2	5.1	2	virginica	0	0	1	0.815058386
104	6.3	2.9	5.6	1.8	virginica	0	0	1	0.19395056
131	7.4	2.8	6.1	1.9	virginica	0	0	1	0.473683354
59	6.6	2.9	4.6	1.3	versicolor	0	1	0	0.814415889
49	5.3	3.7	1.5	0.2	setosa	1	0	0	0.394797714
76	6.6	3	4.4	1.4	versicolor	0	1	0	0.102891597
41	5	3.5	1.3	0.3	setosa	1	0	0	0.18432671
4	4.6	3.1	1.5	0.2	setosa	1	0	0	0.385382434
120	6	2.2	5	1.5	virginica	0	0	1	0.844048751
130	7.2	3	5.8	1.6	virginica	0	0	1	0.892762819
24	5.1	3.3	1.7	0.5	setosa	1	0	0	0.093787066
47	5.1	3.8	1.6	0.2	setosa	1	0	0	0.925482972
97	5.7	2.9	4.2	1.3	versicolor	0	1	0	0.587534384
143	5.8	2.7	5.1	1.9	virginica	0	0	1	0.563950188
124	6.3	2.7	4.9	1.8	virginica	0	0	1	0.553703624
61	5	2	3.5	1	versicolor	0	1	0	0.436009402
102	5.8	2.7	5.1	1.9	virginica	0	0	1	0.203813826
32	5.4	3.4	1.5	0.4	setosa	1	0	0	0.437692092
66	6.7	3.1	4.4	1.4	versicolor	0	1	0	0.526476187
133	6.4	2.8	5.6	2.2	virginica	0	0	1	0.591640953
55	6.5	2.8	4.6	1.5	versicolor	0	1	0	0.048583018
128	6.1	3	4.9	1.8	virginica	0	0	1	0.777651172
92	6.1	3	4.6	1.4	versicolor	0	1	0	0.846356831
19	5.7	3.8	1.7	0.3	setosa	1	0	0	0.419204773
72	6.1	2.8	4	1.3	versicolor	0	1	0	0.171066266
110	7.2	3.6	6.1	2.5	virginica	0	0	1	0.779784969
147	6.3	2.5	5	1.9	virginica	0	0	1	0.451527368
126	7.2	3.2	6	1.8	virginica	0	0	1	0.481747716
85	5.4	3	4.5	1.5	versicolor	0	1	0	0.475992721
14	4.3	3	1.1	0.1	setosa	1	0	0	0.223376893
77	6.8	2.8	4.8	1.4	versicolor	0	1	0	0.538646329
23	4.6	3.6	1	0.2	setosa	1	0	0	0.233127932
75	6.4	2.9	4.3	1.3	versicolor	0	1	0	0.607886105
86	6	3.4	4.5	1.6	versicolor	0	1	0	0.999923623
60	5.2	2.7	3.9	1.4	versicolor	0	1	0	0.628520826
117	6.5	3	5.5	1.8	virginica	0	0	1	0.709372712
139	6	3	4.8	1.8	virginica	0	0	1	0.970150163
65	5.6	2.9	3.6	1.3	versicolor	0	1	0	0.540307842
121	6.9	3.2	5.7	2.3	virginica	0	0	1	0.289029604
115	5.8	2.8	5.1	2.4	virginica	0	0	1	0.269174025
108	7.3	2.9	6.3	1.8	virginica	0	0	1	0.252295499
94	5	2.3	3.3	1	versicolor	0	1	0	0.883199036
